region,province,district_number,district_label,winner_party,target_party,votes_rank1,votes_target,gap,bucket
ภาคเหนือ,พิจิตร,2,พิจิตร เขต 2,ภูมิใจไทย,ประชาชน,44182,19199,24983,10000+
ภาคอีสาน,ศรีสะเกษ,2,ศรีสะเกษ เขต 2,ภูมิใจไทย,ประชาชน,32241,7099,25142,10000+
ภาคอีสาน,อุบลราชธานี,2,อุบลราชธานี เขต 2,ไทรวมพลัง,ประชาชน,33858,8632,25226,10000+
ภาคอีสาน,ร้อยเอ็ด,3,ร้อยเอ็ด เขต 3,กล้าธรรม,ประชาชน,33009,7742,25267,10000+
ภาคกลาง,พระนครศรีอยุธยา,5,พระนครศรีอยุธยา เขต 5,ภูมิใจไทย,ประชาชน,44041,18764,25277,10000+
ภาคอีสาน,กาฬสินธุ์,2,กาฬสินธุ์ เขต 2,เพื่อไทย,ประชาชน,43248,17811,25437,10000+
ภาคกลาง,ราชบุรี,3,ราชบุรี เขต 3,กล้าธรรม,ประชาชน,48792,23353,25439,10000+
ภาคใต้,ปัตตานี,5,ปัตตานี เขต 5,ภูมิใจไทย,ประชาชน,32162,6723,25439,10000+
ภาคกลาง,ราชบุรี,5,ราชบุรี เขต 5,ภูมิใจไทย,ประชาชน,41923,16046,25877,10000+
ภาคกลาง,พระนครศรีอยุธยา,3,พระนครศรีอยุธยา เขต 3,ภูมิใจไทย,ประชาชน,54931,28912,26019,10000+
ภาคใต้,พังงา,1,พังงา เขต 1,ภูมิใจไทย,ประชาชน,34785,8743,26042,10000+
ภาคอีสาน,ขอนแก่น,5,ขอนแก่น เขต 5,กล้าธรรม,ประชาชน,34658,8556,26102,10000+
ภาคอีสาน,อำนาจเจริญ,1,อำนาจเจริญ เขต 1,ภูมิใจไทย,ประชาชน,40261,14152,26109,10000+
ภาคอีสาน,บึงกาฬ,1,บึงกาฬ เขต 1,ภูมิใจไทย,ประชาชน,34556,8434,26122,10000+
ภาคใต้,นครศรีธรรมราช,5,นครศรีธรรมราช เขต 5,กล้าธรรม,ประชาชน,34752,8627,26125,10000+
ภาคอีสาน,นครราชสีมา,9,นครราชสีมา เขต 9,ภูมิใจไทย,ประชาชน,37991,11686,26305,10000+
ภาคอีสาน,ศรีสะเกษ,7,ศรีสะเกษ เขต 7,เพื่อไทย,ประชาชน,31868,5509,26359,10000+
ภาคกลาง,นครปฐม,1,นครปฐม เขต 1,ภูมิใจไทย,ประชาชน,51585,25116,26469,10000+
ภาคอีสาน,ศรีสะเกษ,5,ศรีสะเกษ เขต 5,ภูมิใจไทย,ประชาชน,37079,10562,26517,10000+
ภาคกลาง,พระนครศรีอยุธยา,2,พระนครศรีอยุธยา เขต 2,ภูมิใจไทย,ประชาชน,51200,24678,26522,10000+
ภาคเหนือ,กำแพงเพชร,2,กำแพงเพชร เขต 2,กล้าธรรม,ประชาชน,39701,13012,26689,10000+
ภาคใต้,สงขลา,7,สงขลา เขต 7,ภูมิใจไทย,ประชาชน,34425,7679,26746,10000+
ภาคเหนือ,เพชรบูรณ์,5,เพชรบูรณ์ เขต 5,ภูมิใจไทย,ประชาชน,42489,15743,26746,10000+
ภาคตะวันออก,ชลบุรี,5,ชลบุรี เขต 5,ภูมิใจไทย,ประชาชน,49881,23056,26825,10000+
ภาคอีสาน,ขอนแก่น,10,ขอนแก่น เขต 10,ภูมิใจไทย,ประชาชน,36642,9715,26927,10000+
ภาคกลาง,ราชบุรี,1,ราชบุรี เขต 1,ภูมิใจไทย,ประชาชน,53723,26748,26975,10000+
ภาคเหนือ,เพชรบูรณ์,1,เพชรบูรณ์ เขต 1,ภูมิใจไทย,ประชาชน,48580,21364,27216,10000+
ภาคใต้,นครศรีธรรมราช,9,นครศรีธรรมราช เขต 9,ภูมิใจไทย,ประชาชน,35278,7910,27368,10000+
ภาคเหนือ,พิษณุโลก,4,พิษณุโลก เขต 4,ภูมิใจไทย,ประชาชน,40713,13276,27437,10000+
ภาคอีสาน,นครราชสีมา,10,นครราชสีมา เขต 10,ภูมิใจไทย,ประชาชน,40401,12927,27474,10000+
ภาคอีสาน,นครพนม,4,นครพนม เขต 4,เพื่อไทย,ประชาชน,38829,11139,27690,10000+
ภาคกลาง,ราชบุรี,4,ราชบุรี เขต 4,ภูมิใจไทย,ประชาชน,52731,24904,27827,10000+
ภาคอีสาน,มุกดาหาร,2,มุกดาหาร เขต 2,กล้าธรรม,ประชาชน,39782,11781,28001,10000+
ภาคอีสาน,สุรินทร์,7,สุรินทร์ เขต 7,ภูมิใจไทย,ประชาชน,40998,12906,28092,10000+
ภาคอีสาน,ยโสธร,3,ยโสธร เขต 3,ภูมิใจไทย,ประชาชน,41851,13673,28178,10000+
ภาคใต้,นครศรีธรรมราช,7,นครศรีธรรมราช เขต 7,ภูมิใจไทย,ประชาชน,36880,8672,28208,10000+
ภาคใต้,นราธิวาส,1,นราธิวาส เขต 1,กล้าธรรม,ประชาชน,37791,9540,28251,10000+
ภาคอีสาน,ชัยภูมิ,7,ชัยภูมิ เขต 7,กล้าธรรม,ประชาชน,37660,9375,28285,10000+
ภาคใต้,กระบี่,1,กระบี่ เขต 1,ภูมิใจไทย,ประชาชน,47972,19641,28331,10000+
ภาคอีสาน,อุบลราชธานี,3,อุบลราชธานี เขต 3,ไทรวมพลัง,ประชาชน,41261,12852,28409,10000+
ภาคอีสาน,นครราชสีมา,7,นครราชสีมา เขต 7,เพื่อไทย,ประชาชน,37355,8931,28424,10000+
ภาคเหนือ,พิจิตร,1,พิจิตร เขต 1,ภูมิใจไทย,ประชาชน,50052,21619,28433,10000+
ภาคใต้,สงขลา,9,สงขลา เขต 9,ประชาธิปัตย์,ประชาชน,46357,17735,28622,10000+
ภาคอีสาน,ขอนแก่น,6,ขอนแก่น เขต 6,ภูมิใจไทย,ประชาชน,43245,14408,28837,10000+
ภาคอีสาน,ร้อยเอ็ด,5,ร้อยเอ็ด เขต 5,เพื่อไทย,ประชาชน,39346,10238,29108,10000+
ภาคตะวันออก,ฉะเชิงเทรา,2,ฉะเชิงเทรา เขต 2,กล้าธรรม,ประชาชน,48727,19493,29234,10000+
ภาคเหนือ,นครสวรรค์,2,นครสวรรค์ เขต 2,ภูมิใจไทย,ประชาชน,44634,15384,29250,10000+
ภาคตะวันออก,ฉะเชิงเทรา,3,ฉะเชิงเทรา เขต 3,กล้าธรรม,ประชาชน,49678,20386,29292,10000+
ภาคอีสาน,ขอนแก่น,9,ขอนแก่น เขต 9,เพื่อไทย,ประชาชน,40153,10840,29313,10000+
ภาคใต้,ปัตตานี,2,ปัตตานี เขต 2,ภูมิใจไทย,ประชาชน,36360,6903,29457,10000+
ภาคใต้,สุราษฎร์ธานี,7,สุราษฎร์ธานี เขต 7,กล้าธรรม,ประชาชน,38674,9051,29623,10000+
ภาคอีสาน,มหาสารคาม,3,มหาสารคาม เขต 3,ภูมิใจไทย,ประชาชน,35150,5400,29750,10000+
ภาคอีสาน,สุรินทร์,4,สุรินทร์ เขต 4,ภูมิใจไทย,ประชาชน,40070,10241,29829,10000+
ภาคอีสาน,ร้อยเอ็ด,2,ร้อยเอ็ด เขต 2,กล้าธรรม,ประชาชน,41159,11258,29901,10000+
ภาคอีสาน,สุรินทร์,5,สุรินทร์ เขต 5,ภูมิใจไทย,ประชาชน,37432,7299,30133,10000+
ภาคใต้,พัทลุง,1,พัทลุง เขต 1,ภูมิใจไทย,ประชาชน,40279,9811,30468,10000+
ภาคกลาง,ลพบุรี,4,ลพบุรี เขต 4,เพื่อไทย,ประชาชน,47865,17319,30546,10000+
ภาคอีสาน,นครราชสีมา,12,นครราชสีมา เขต 12,เพื่อไทย,ประชาชน,44512,13923,30589,10000+
ภาคใต้,สุราษฎร์ธานี,3,สุราษฎร์ธานี เขต 3,ไทรวมพลัง,ประชาชน,38780,7811,30969,10000+
ภาคใต้,ชุมพร,1,ชุมพร เขต 1,ภูมิใจไทย,ประชาชน,43318,12289,31029,10000+
ภาคเหนือ,เพชรบูรณ์,2,เพชรบูรณ์ เขต 2,ภูมิใจไทย,ประชาชน,38334,7300,31034,10000+
ภาคอีสาน,สุรินทร์,3,สุรินทร์ เขต 3,ภูมิใจไทย,ประชาชน,44112,13062,31050,10000+
ภาคใต้,ชุมพร,3,ชุมพร เขต 3,ภูมิใจไทย,ประชาชน,39753,8677,31076,10000+
ภาคใต้,นครศรีธรรมราช,6,นครศรีธรรมราช เขต 6,ประชาธิปัตย์,ประชาชน,41070,9636,31434,10000+
ภาคใต้,นราธิวาส,3,นราธิวาส เขต 3,กล้าธรรม,ประชาชน,36053,4521,31532,10000+
ภาคกลาง,สิงห์บุรี,1,สิงห์บุรี เขต 1,ภูมิใจไทย,ประชาชน,61861,30275,31586,10000+
ภาคกลาง,ลพบุรี,3,ลพบุรี เขต 3,ภูมิใจไทย,ประชาชน,46398,14482,31916,10000+
ภาคอีสาน,นครพนม,2,นครพนม เขต 2,เพื่อไทย,ประชาชน,48579,16385,32194,10000+
ภาคใต้,กระบี่,2,กระบี่ เขต 2,ภูมิใจไทย,ประชาชน,39705,7437,32268,10000+
ภาคใต้,นราธิวาส,2,นราธิวาส เขต 2,กล้าธรรม,ประชาชน,40265,7982,32283,10000+
ภาคใต้,สงขลา,8,สงขลา เขต 8,กล้าธรรม,ประชาชน,38399,6065,32334,10000+
ภาคเหนือ,นครสวรรค์,3,นครสวรรค์ เขต 3,กล้าธรรม,ประชาชน,50364,17949,32415,10000+
ภาคกลาง,ลพบุรี,2,ลพบุรี เขต 2,ภูมิใจไทย,ประชาชน,55191,22624,32567,10000+
ภาคอีสาน,ศรีสะเกษ,1,ศรีสะเกษ เขต 1,ภูมิใจไทย,ประชาชน,44088,11323,32765,10000+
ภาคเหนือ,สุโขทัย,3,สุโขทัย เขต 3,เพื่อไทย,ประชาชน,44192,11257,32935,10000+
ภาคเหนือ,พะเยา,2,พะเยา เขต 2,กล้าธรรม,ประชาชน,52697,19683,33014,10000+
ภาคอีสาน,ศรีสะเกษ,4,ศรีสะเกษ เขต 4,ภูมิใจไทย,ประชาชน,38705,5594,33111,10000+
ภาคอีสาน,ร้อยเอ็ด,1,ร้อยเอ็ด เขต 1,ภูมิใจไทย,ประชาชน,46309,12987,33322,10000+
ภาคใต้,นครศรีธรรมราช,2,นครศรีธรรมราช เขต 2,ภูมิใจไทย,ประชาชน,42139,8613,33526,10000+
ภาคกลาง,สุพรรณบุรี,5,สุพรรณบุรี เขต 5,ภูมิใจไทย,ประชาชน,57191,23645,33546,10000+
ภาคกลาง,สุพรรณบุรี,3,สุพรรณบุรี เขต 3,กล้าธรรม,ประชาชน,45123,11526,33597,10000+
ภาคใต้,สุราษฎร์ธานี,4,สุราษฎร์ธานี เขต 4,ประชาธิปัตย์,ประชาชน,40589,6976,33613,10000+
ภาคกลาง,กาญจนบุรี,4,กาญจนบุรี เขต 4,ภูมิใจไทย,ประชาชน,49369,15683,33686,10000+
ภาคใต้,ตรัง,2,ตรัง เขต 2,ภูมิใจไทย,ประชาชน,39583,5710,33873,10000+
ภาคอีสาน,เลย,3,เลย เขต 3,ภูมิใจไทย,ประชาชน,47786,13781,34005,10000+
ภาคอีสาน,บุรีรัมย์,7,บุรีรัมย์ เขต 7,ภูมิใจไทย,ประชาชน,42445,8169,34276,10000+
ภาคอีสาน,อุบลราชธานี,9,อุบลราชธานี เขต 9,ไทรวมพลัง,ประชาชน,39071,4689,34382,10000+
ภาคอีสาน,ยโสธร,1,ยโสธร เขต 1,ภูมิใจไทย,ประชาชน,46760,12243,34517,10000+
ภาคอีสาน,กาฬสินธุ์,5,กาฬสินธุ์ เขต 5,ภูมิใจไทย,ประชาชน,43680,9158,34522,10000+
ภาคอีสาน,สกลนคร,3,สกลนคร เขต 3,เพื่อไทย,ประชาชน,44745,10191,34554,10000+
ภาคใต้,นครศรีธรรมราช,4,นครศรีธรรมราช เขต 4,ประชาธิปัตย์,ประชาชน,41929,7176,34753,10000+
ภาคตะวันออก,สระแก้ว,1,สระแก้ว เขต 1,พลังประชารัฐ,ประชาชน,53324,18444,34880,10000+
ภาคกลาง,กาญจนบุรี,3,กาญจนบุรี เขต 3,ภูมิใจไทย,ประชาชน,46896,11876,35020,10000+
ภาคใต้,ยะลา,2,ยะลา เขต 2,ประชาชาติ,ประชาชน,44309,9245,35064,10000+
ภาคอีสาน,ชัยภูมิ,6,ชัยภูมิ เขต 6,ภูมิใจไทย,ประชาชน,47868,12535,35333,10000+
ภาคอีสาน,ชัยภูมิ,3,ชัยภูมิ เขต 3,ภูมิใจไทย,ประชาชน,44269,8863,35406,10000+
ภาคอีสาน,บุรีรัมย์,8,บุรีรัมย์ เขต 8,ภูมิใจไทย,ประชาชน,49860,14410,35450,10000+
ภาคเหนือ,เพชรบูรณ์,4,เพชรบูรณ์ เขต 4,ภูมิใจไทย,ประชาชน,44994,9439,35555,10000+
ภาคกลาง,สุพรรณบุรี,4,สุพรรณบุรี เขต 4,ภูมิใจไทย,ประชาชน,52830,17185,35645,10000+
ภาคอีสาน,อุบลราชธานี,5,อุบลราชธานี เขต 5,ภูมิใจไทย,ประชาชน,46827,11155,35672,10000+
ภาคกลาง,อ่างทอง,1,อ่างทอง เขต 1,ภูมิใจไทย,ประชาชน,52703,16923,35780,10000+
ภาคใต้,ตรัง,3,ตรัง เขต 3,ประชาธิปัตย์,ประชาชน,42376,6583,35793,10000+
ภาคใต้,นราธิวาส,4,นราธิวาส เขต 4,ภูมิใจไทย,ประชาชน,39681,3622,36059,10000+
ภาคใต้,กระบี่,3,กระบี่ เขต 3,ภูมิใจไทย,ประชาชน,45246,9182,36064,10000+
ภาคอีสาน,ร้อยเอ็ด,7,ร้อยเอ็ด เขต 7,ไทยสร้างไทย,ประชาชน,39470,3395,36075,10000+
ภาคกลาง,ชัยนาท,2,ชัยนาท เขต 2,ภูมิใจไทย,ประชาชน,52108,15985,36123,10000+
ภาคใต้,สงขลา,6,สงขลา เขต 6,ภูมิใจไทย,ประชาชน,43976,7800,36176,10000+
ภาคเหนือ,สุโขทัย,4,สุโขทัย เขต 4,ภูมิใจไทย,ประชาชน,44904,8633,36271,10000+
ภาคใต้,นครศรีธรรมราช,8,นครศรีธรรมราช เขต 8,ภูมิใจไทย,ประชาชน,47916,11558,36358,10000+
ภาคอีสาน,ขอนแก่น,11,ขอนแก่น เขต 11,ภูมิใจไทย,ประชาชน,47777,11212,36565,10000+
ภาคอีสาน,สุรินทร์,2,สุรินทร์ เขต 2,ภูมิใจไทย,ประชาชน,50102,13454,36648,10000+
ภาคเหนือ,เชียงราย,5,เชียงราย เขต 5,ภูมิใจไทย,ประชาชน,49323,12636,36687,10000+
ภาคอีสาน,นครราชสีมา,11,นครราชสีมา เขต 11,เพื่อไทย,ประชาชน,49937,13223,36714,10000+
ภาคอีสาน,นครราชสีมา,8,นครราชสีมา เขต 8,เพื่อไทย,ประชาชน,48178,11397,36781,10000+
ภาคอีสาน,อุบลราชธานี,7,อุบลราชธานี เขต 7,ภูมิใจไทย,ประชาชน,42705,5795,36910,10000+
ภาคอีสาน,สุรินทร์,8,สุรินทร์ เขต 8,ภูมิใจไทย,ประชาชน,49285,12277,37008,10000+
ภาคกลาง,ประจวบคีรีขันธ์,1,ประจวบคีรีขันธ์ เขต 1,ภูมิใจไทย,ประชาชน,47612,10158,37454,10000+
ภาคอีสาน,บุรีรัมย์,4,บุรีรัมย์ เขต 4,ภูมิใจไทย,ประชาชน,49024,11225,37799,10000+
ภาคใต้,พัทลุง,3,พัทลุง เขต 3,กล้าธรรม,ประชาชน,44245,6380,37865,10000+
ภาคอีสาน,สุรินทร์,6,สุรินทร์ เขต 6,ภูมิใจไทย,ประชาชน,48468,10432,38036,10000+
ภาคใต้,สงขลา,4,สงขลา เขต 4,กล้าธรรม,ประชาชน,43872,5718,38154,10000+
ภาคอีสาน,ชัยภูมิ,2,ชัยภูมิ เขต 2,เพื่อไทย,ประชาชน,52437,14055,38382,10000+
ภาคใต้,นครศรีธรรมราช,3,นครศรีธรรมราช เขต 3,ประชาธิปัตย์,ประชาชน,44848,6439,38409,10000+
ภาคใต้,นราธิวาส,5,นราธิวาส เขต 5,ประชาชาติ,ประชาชน,42706,4132,38574,10000+
ภาคใต้,ตรัง,4,ตรัง เขต 4,ประชาธิปัตย์,ประชาชน,48284,9683,38601,10000+
ภาคกลาง,อุทัยธานี,1,อุทัยธานี เขต 1,ภูมิใจไทย,ประชาชน,50705,12088,38617,10000+
ภาคอีสาน,บุรีรัมย์,6,บุรีรัมย์ เขต 6,ภูมิใจไทย,ประชาชน,47010,8372,38638,10000+
ภาคใต้,สตูล,2,สตูล เขต 2,ภูมิใจไทย,ประชาชน,51667,12966,38701,10000+
ภาคกลาง,สุพรรณบุรี,1,สุพรรณบุรี เขต 1,ภูมิใจไทย,ประชาชน,59148,20262,38886,10000+
ภาคใต้,สงขลา,5,สงขลา เขต 5,กล้าธรรม,ประชาชน,48514,9031,39483,10000+
ภาคตะวันออก,ตราด,1,ตราด เขต 1,ภูมิใจไทย,ประชาชน,62391,22492,39899,10000+
ภาคกลาง,อุทัยธานี,2,อุทัยธานี เขต 2,ภูมิใจไทย,ประชาชน,50967,10529,40438,10000+
ภาคเหนือ,นครสวรรค์,4,นครสวรรค์ เขต 4,ภูมิใจไทย,ประชาชน,51575,11113,40462,10000+
ภาคอีสาน,บุรีรัมย์,5,บุรีรัมย์ เขต 5,ภูมิใจไทย,ประชาชน,50853,10178,40675,10000+
ภาคอีสาน,บุรีรัมย์,2,บุรีรัมย์ เขต 2,ภูมิใจไทย,ประชาชน,54410,13625,40785,10000+
ภาคอีสาน,ศรีสะเกษ,3,ศรีสะเกษ เขต 3,ภูมิใจไทย,ประชาชน,49781,8930,40851,10000+
ภาคกลาง,เพชรบุรี,1,เพชรบุรี เขต 1,ภูมิใจไทย,ประชาชน,58584,17417,41167,10000+
ภาคเหนือ,แพร่,2,แพร่ เขต 2,ภูมิใจไทย,ประชาชน,50300,9072,41228,10000+
ภาคอีสาน,บุรีรัมย์,10,บุรีรัมย์ เขต 10,ภูมิใจไทย,ประชาชน,47751,6224,41527,10000+
ภาคอีสาน,ยโสธร,2,ยโสธร เขต 2,ภูมิใจไทย,ประชาชน,46438,4829,41609,10000+
ภาคอีสาน,บุรีรัมย์,1,บุรีรัมย์ เขต 1,ภูมิใจไทย,ประชาชน,53235,11436,41799,10000+
ภาคตะวันออก,สระแก้ว,2,สระแก้ว เขต 2,พลังประชารัฐ,ประชาชน,56364,13788,42576,10000+
ภาคใต้,ระนอง,1,ระนอง เขต 1,ภูมิใจไทย,ประชาชน,56553,13643,42910,10000+
ภาคอีสาน,อุบลราชธานี,11,อุบลราชธานี เขต 11,ภูมิใจไทย,ประชาชน,54260,11256,43004,10000+
ภาคเหนือ,พะเยา,3,พะเยา เขต 3,กล้าธรรม,ประชาชน,55450,11442,44008,10000+
ภาคกลาง,อ่างทอง,2,อ่างทอง เขต 2,ภูมิใจไทย,ประชาชน,57385,13263,44122,10000+
ภาคเหนือ,เพชรบูรณ์,6,เพชรบูรณ์ เขต 6,ภูมิใจไทย,ประชาชน,58578,14252,44326,10000+
ภาคอีสาน,บุรีรัมย์,9,บุรีรัมย์ เขต 9,ภูมิใจไทย,ประชาชน,50073,5665,44408,10000+
ภาคอีสาน,บุรีรัมย์,3,บุรีรัมย์ เขต 3,ภูมิใจไทย,ประชาชน,51914,7391,44523,10000+
ภาคเหนือ,นครสวรรค์,5,นครสวรรค์ เขต 5,ภูมิใจไทย,ประชาชน,56499,11900,44599,10000+
ภาคอีสาน,ศรีสะเกษ,8,ศรีสะเกษ เขต 8,ภูมิใจไทย,ประชาชน,53218,8497,44721,10000+
ภาคอีสาน,กาฬสินธุ์,6,กาฬสินธุ์ เขต 6,เพื่อไทย,ประชาชน,54428,9373,45055,10000+
ภาคกลาง,เพชรบุรี,2,เพชรบุรี เขต 2,ภูมิใจไทย,ประชาชน,63365,16712,46653,10000+
ภาคใต้,พัทลุง,2,พัทลุง เขต 2,ภูมิใจไทย,ประชาชน,55709,8406,47303,10000+
ภาคเหนือ,พะเยา,1,พะเยา เขต 1,กล้าธรรม,ประชาชน,61641,13063,48578,10000+
ภาคอีสาน,นครพนม,1,นครพนม เขต 1,ภูมิใจไทย,ประชาชน,57294,5515,51779,10000+
ภาคอีสาน,อุบลราชธานี,10,อุบลราชธานี เขต 10,ไทรวมพลัง,ประชาชน,59424,7065,52359,10000+
ภาคกลาง,เพชรบุรี,3,เพชรบุรี เขต 3,ภูมิใจไทย,ประชาชน,67129,12514,54615,10000+
